119,IFSPC@MPINAS,-22.873108,-47.111774,0.95,647.3,18:12:40,SOLO,-56
120,IFSPC@MPINAS,-22.873114,-47.111778,0.86,647.8,18:12:46,SOLO,-55
120,IFSPC@MPINAS,-22.873114,-47.111778,0.86,647.8,18:12:46,DRONE,-54
121,IFSPC@MPINAS,-22.873117,-47.111774,0.86,647.8,18:12:51,SOLO,-55
121,IFSPC@MPINAS,-22.873117,-47.111774,0.86,647.8,18:12:51,DRONE,-54
122,IFSPC@MPINAS,-22.873117,-47.111774,0.95,648.8,18:13:2,DRONE,-55
122,IFSPC@MPINAS,-22.873117,-47.111774,0.95,648.8,18:13:2,SOLO,-56
123,IFSPC@MPINAS,-22.873114,-47.111771,0.95,649.0,18:13:8,SOLO,-55
123,IFSPC@MPINAS,-22.873114,-47.111771,0.95,649.0,18:13:8,DRONE,-55
124,IFSPC@MPINAS,-22.873108,-47.111771,0.95,648.6,18:13:14,DRONE,-54
124,IFSPC@MPINAS,-22.873108,-47.111771,0.95,648.6,18:13:14,SOLO,-55
125,IFSPC@MPINAS,-22.873108,-47.111767,0.86,648.0,18:13:15,DRONE,-54
125,IFSPC@MPINAS,-22.873108,-47.111767,0.86,648.0,18:13:15,SOLO,-55
126,IFSPC@MPINAS,-22.873106,-47.111767,0.86,648.0,18:13:21,SOLO,-54
126,IFSPC@MPINAS,-22.873106,-47.111767,0.86,648.0,18:13:21,DRONE,-54
127,IFSPC@MPINAS,-22.87311,-47.111771,0.86,648.6,18:13:31,SOLO,-55
127,IFSPC@MPINAS,-22.87311,-47.111771,0.86,648.6,18:13:31,DRONE,-55
128,IFSPC@MPINAS,-22.873108,-47.111771,0.86,648.9,18:13:37,DRONE,-55
128,IFSPC@MPINAS,-22.873108,-47.111771,0.86,648.9,18:13:37,SOLO,-55
129,IFSPC@MPINAS,-22.873108,-47.111771,0.86,648.8,18:13:43,SOLO,-55
129,IFSPC@MPINAS,-22.873108,-47.111771,0.86,648.8,18:13:43,DRONE,-54
130,IFSPC@MPINAS,-22.873108,-47.111771,0.86,648.7,18:13:44,SOLO,-55
130,IFSPC@MPINAS,-22.873108,-47.111771,0.86,648.7,18:13:44,DRONE,-54
131,IFSPC@MPINAS,-22.873102,-47.111774,0.86,648.7,18:13:50,SOLO,-55
131,IFSPC@MPINAS,-22.873102,-47.111774,0.86,648.7,18:13:50,DRONE,-54
0,IFSPC@MPINAS,-22.873098,-47.111774,0.86,646.2,18:14:4,SOLO,-56
0,IFSPC@MPINAS,-22.873098,-47.111774,0.86,646.2,18:14:4,DRONE,-54
0,IFSPC@MPINAS,-22.873096,-47.111774,0.86,645.8,18:14:14,SOLO,-56
0,IFSPC@MPINAS,-22.873096,-47.111774,0.86,645.8,18:14:14,DRONE,-54
1,IFSPC@MPINAS,-22.873096,-47.111774,0.86,645.8,18:14:15,SOLO,-54
1,IFSPC@MPINAS,-22.873096,-47.111774,0.86,645.8,18:14:15,DRONE,-54
2,IFSPC@MPINAS,-22.873096,-47.111774,0.86,645.8,18:14:15,SOLO,-55
2,IFSPC@MPINAS,-22.873096,-47.111774,0.86,645.8,18:14:15,DRONE,-55
3,IFSPC@MPINAS,-22.873095,-47.111778,0.86,645.4,18:14:26,DRONE,-55
3,IFSPC@MPINAS,-22.873095,-47.111778,0.86,645.4,18:14:26,SOLO,-55
4,IFSPC@MPINAS,-22.873098,-47.111778,0.86,645.6,18:14:32,DRONE,-55
4,IFSPC@MPINAS,-22.873098,-47.111778,0.86,645.6,18:14:32,SOLO,-56
5,IFSPC@MPINAS,-22.8731,-47.111778,0.86,645.5,18:14:42,DRONE,-54
5,IFSPC@MPINAS,-22.8731,-47.111778,0.86,645.5,18:14:42,SOLO,-56
6,IFSPC@MPINAS,-22.8731,-47.111782,1.09,645.4,18:14:43,DRONE,-55
6,IFSPC@MPINAS,-22.8731,-47.111782,1.09,645.4,18:14:43,SOLO,-55
