314,IFSPC@MPINAS,-22.931519,-47.056168,1.8,681.8,12:10:30,DRONE,-39
315,IFSPC@MPINAS,-22.931673,-47.056305,1.2,681.9,12:10:32,DRONE,-39
316,IFSPC@MPINAS,-22.931828,-47.056442,2.0,681.8,12:10:34,DRONE,-38
317,IFSPC@MPINAS,-22.931982,-47.05658,1.4,681.8,12:10:36,DRONE,-38
319,IFSPC@MPINAS,-22.932171,-47.056931,1.2,681.8,12:10:40,DRONE,-38
120,IFYPW@IPHNJW,-1.902207,-40.087145,1.4,52.0,12:13:32,DRONE,-38
321,IFSPC@MPINAS,-22.93224,-47.057358,1.5,681.9,12:10:44,DRONE,-39
323,IFSPC@MPINAS,-22.932308,-47.057785,1.3,681.7,12:10:48,DRONE,-38
628,RFSPW@MIIBAY,-22.953885,-47.850834,1.5,691.2,12:13:01,DRONE,-37
329,IFSPC@MPINAS,-22.932514,-47.059067,1.4,681.6,12:11:-47.05900,DRONE,-38
330,IFSPC@MPINAS,-22.932539,-47.05928,1.2,681.7,12:11:2,DRONE,-38
332,IFSPC@MPINAS,-22.932589,-47.059708,2.1,681.7,12:11:6,DRONE,-37
335,IFSPC@MPINAS,-22.932663,-47.060349,1.0,681.7,12:11:12,DRONE,-38
336,IFSPC@MPINAS,-22.932688,-47.060562,1.4,681.9,12:11:14,DRONE,-38
338,IFSPC@MPINAS,-22.932737,-47.060989,1.4,682.0,12:11:18,DRONE,-38
339,IFSPC@MPINAS,-22.932762,-47.061203,2.0,682.3,12:11:20,DRONE,-38
340,IFSPC@MPINAS,-22.932787,-47.061417,2.2,682.1,12:11:22,DRONE,-37
342,IFSPC@MPINAS,-22.932966,-47.061806,2.1,682.2,12:11:26,DRONE,-37
343,IFSPC@MPINAS,-22.933056,-47.062,1.8,682.4,12:11:28,DRONE,-36
344,IFSPC@MPINAS,-22.933146,-47.062195,1.8,682.6,12:11:30,DRONE,-37
345,IFSPC@MPINAS,-22.933235,-47.062389,1.5,682.7,12:11:32,DRONE,-36
347,IFSPC@MPINAS,-22.933414,-47.062778,1.9,682.7,12:11:36,DRONE,-37
348,IFSPC@MPINAS,-22.933504,-47.062973,1.2,682.5,12:11:38,DRONE,-37
350,IFSPC@MPINAS,-22.933683,-47.063362,1.6,682.4,12:11:42,DRONE,-39
337,IVSCC@MPRNAS,-55.902773,-47.863558,6.0,332.3,16:11:44,DRONE,-37
353,IFSPC@MPINAS,-22.934158,-47.063679,0.9,682.3,12:11:48,DRONE,-37
354,IFSPC@MPINAS,-22.934351,-47.06374,2.2,682.5,12:11:50,DRONE,-38
356,IFSPC@MPINAS,-22.934736,-47.063862,1.3,682.5,12:11:54,DRONE,-37
357,IFSPC@MPINAS,-22.934929,-47.063923,1.3,682.4,12:11:56,DRONE,-37
358,IFSPC@MPINAS,-2.0,-47.063984,0.8,682.1,12:11:58,DRONE,-38
361,IFSPC@MPINAS,-22.935699,-47.064167,1.9,682.4,12:12:4,DRONE,-38
362,IFSPC@MPINAS,-22.935892,-47.064228,1.4,682.1,12:12:6,DRONE,-38
365,IFSPC@MPINAS,-22.936316,-47.064686,1.4,682.1,12:12:12,DRONE,-38
366,IFSPC@MPINAS,-22.936457,-47.064838,1.0,682.0,12:12:14,DRONE,-38
330,IDOPZ@MPNZQJ,-22.937621,-48.865759,2.0,983.0,10:11:23,DRONE,-37
372,IFSPC@MPINAS,-22.937304,-47.065754,1.3,682.4,12:12:26,DRONE,-38
373,IFSPC@MPINAS,-237181.0,-47.065926,0.9,682.2,12:12:28,DRONE,-37
374,IFSPC@MPINAS,-22.937059,-47.066097,1.8,682.4,12:12:30,DRONE,-37
